"","X","age","gender","region_category","membership_category","joined_through_referral","preferred_offer_types","medium_of_operation","internet_option","avg_time_spent","avg_transaction_value","avg_frequency_login_days","points_in_wallet","used_special_discount","offer_application_preference","past_complaint","complaint_status","feedback","churn_risk_score"
"101",100,18,"M","Town","Basic Membership","No","Credit/Debit Card Offers","Desktop","Mobile_Data",293.42,2521.3,"Error",964.840970837412,"Yes","No","Yes","No Information Available","Poor Customer Service",1
"102",101,23,"M","City","Gold Membership","Yes","Credit/Debit Card Offers","Desktop","Wi-Fi",934.354219849904,11955.94,"24.0",630.8,"No","Yes","Yes","Unsolved","Poor Customer Service",1
"103",102,52,"F","City","Basic Membership","Yes","Credit/Debit Card Offers","Smartphone","Mobile_Data",826.51,14877.24,"25.0",522.61,"Yes","No","No","Not Applicable","Poor Customer Service",1
"104",103,49,"F","Town","Premium Membership","Yes","Gift Vouchers/Coupons","Desktop","Mobile_Data",115.41,41156.81,"27.0",741.02,"No","Yes","No","Not Applicable","Poor Customer Service",0
"106",105,31,"F","Town","Basic Membership","No","Gift Vouchers/Coupons","Desktop","Mobile_Data",148.95,2364.45,"Error",634.51,"No","Yes","No","Not Applicable","Too many ads",1
"107",106,27,"M","City","Silver Membership","No","Credit/Debit Card Offers","Smartphone","Mobile_Data",357.45,29825.45,"9.0",665.63,"No","Yes","Yes","Solved","Poor Website",1
"108",107,56,"M","City","Gold Membership","No","Without Offers","Desktop","Fiber_Optic",1386.23285731118,9454.17,"19.0",778.27,"Yes","No","No","Not Applicable","Too many ads",0
"110",109,31,"F","Town","Silver Membership","No","Credit/Debit Card Offers","Both","Wi-Fi",428.05,6325.08,"28.0",80.093693129055,"No","Yes","No","Not Applicable","Poor Product Quality",1
"111",110,29,"M","Town","Premium Membership","No","Gift Vouchers/Coupons","Desktop","Wi-Fi",42.48,16098.94,"21.0",766.85,"Yes","No","Yes","Solved","Poor Website",0
"112",111,31,"F","City","Silver Membership","Yes","Without Offers","Smartphone","Wi-Fi",33.91,23226.43,"7.0",762.48,"No","Yes","Yes","Solved","Poor Customer Service",0
"113",112,11,"F","Town","Basic Membership","No","Gift Vouchers/Coupons","Desktop","Mobile_Data",1060.52797915491,10990.31,"16.0",271.714381293949,"Yes","No","No","Not Applicable","Poor Product Quality",1
"114",113,14,"M","Town","Basic Membership","No","Credit/Debit Card Offers","Desktop","Mobile_Data",1156.4319042423,32302.27,"24.0",520.33,"No","Yes","No","Not Applicable","Poor Customer Service",1
"115",114,26,"M","City","Silver Membership","Yes","Gift Vouchers/Coupons","Smartphone","Mobile_Data",187.91,17002.23,"11.0",700.11,"No","Yes","No","Not Applicable","Too many ads",0
"117",116,51,"M","Village","Platinum Membership","No","Without Offers","Desktop","Fiber_Optic",-494.08387705028,40667.27,"19.0",809.83,"Yes","No","No","Not Applicable","Reasonable Price",0
"118",117,43,"F","Village","Silver Membership","Yes","Credit/Debit Card Offers","Smartphone","Fiber_Optic",-771.415608906568,16186.76,"8.0",633.22,"Yes","No","No","Not Applicable","Poor Customer Service",1
"120",119,57,"M","Town","Gold Membership","Yes","Gift Vouchers/Coupons","Desktop","Wi-Fi",56.63,10171.97,"23.0",757.61,"Yes","No","Yes","Solved in Follow-up","No reason specified",0
"122",121,42,"M","City","Platinum Membership","Yes","Credit/Debit Card Offers","Smartphone","Wi-Fi",1195.73266646723,31504.62,"10.0",1207.25372867605,"Yes","No","No","Not Applicable","Poor Customer Service",0
"124",123,46,"M","Village","No Membership","Yes","Credit/Debit Card Offers","Smartphone","Fiber_Optic",287.39,44809.68,"27.0",629.6,"No","Yes","No","Not Applicable","Poor Product Quality",1
"129",128,35,"M","City","Gold Membership","No","Without Offers","Both","Fiber_Optic",219.13,70247.76,"3.0",1293.16938083934,"Yes","Yes","No","Not Applicable","User Friendly Website",0
"130",129,57,"M","Town","No Membership","Yes","Credit/Debit Card Offers","Smartphone","Wi-Fi",400.35,30248.45,"9.0",660.25,"No","Yes","Yes","Unsolved","Poor Customer Service",1
"131",130,64,"M","Town","No Membership","No","Credit/Debit Card Offers","Desktop","Wi-Fi",49.24,39981.97,"12.0",648.6,"Yes","No","Yes","Solved","Too many ads",1
"132",131,21,"M","Town","Basic Membership","Yes","Credit/Debit Card Offers","Smartphone","Mobile_Data",590.85,21919.13,"14.0",610.24,"Yes","No","Yes","Solved","Poor Product Quality",1
"133",132,53,"F","Town","Gold Membership","No","Credit/Debit Card Offers","Smartphone","Wi-Fi",1142.14883537467,34918.7,"6.0",699.08,"Yes","No","Yes","Solved in Follow-up","Poor Website",1
"134",133,26,"M","Village","No Membership","Yes","Credit/Debit Card Offers","Desktop","Mobile_Data",138.33,8025.77,"29.0",1016.78571300975,"Yes","No","No","Not Applicable","Poor Customer Service",1
"135",134,61,"M","Town","Gold Membership","Yes","Credit/Debit Card Offers","Smartphone","Mobile_Data",516.46,45544.33,"29.0",780.96,"No","Yes","Yes","Unsolved","Too many ads",0
"136",135,30,"M","Town","No Membership","No","Without Offers","Desktop","Fiber_Optic",211.19,2554.48,"10.0",622.45,"Yes","Yes","Yes","Solved","Poor Website",1
"138",137,35,"F","City","Gold Membership","No","Without Offers","Smartphone","Fiber_Optic",267.45,32922.76,"8.0",701.45,"No","Yes","No","Not Applicable","No reason specified",1
"140",139,53,"M","City","Gold Membership","No","Credit/Debit Card Offers","Desktop","Mobile_Data",213.34,8860.9,"6.0",671.74,"Yes","No","Yes","Solved","Poor Website",1
"142",141,23,"M","City","Basic Membership","Yes","Credit/Debit Card Offers","Smartphone","Wi-Fi",1044.24349368498,26060.01,"22.0",684.88,"Yes","No","Yes","Solved","Poor Website",1
"143",142,11,"M","Town","Premium Membership","Yes","Gift Vouchers/Coupons","Both","Mobile_Data",628.79,33199.52,"22.0",777.94,"Yes","No","Yes","No Information Available","Poor Customer Service",0
"145",144,37,"M","Village","Silver Membership","Yes","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",172.07,23587.32,"28.0",326.131070869729,"Yes","No","No","Not Applicable","Poor Website",1
"150",149,59,"F","City","Basic Membership","No","Without Offers","Both","Wi-Fi",400.21,33996.1,"38.47159929450214",697.6,"Yes","Yes","No","Not Applicable","Poor Product Quality",1
"151",150,50,"F","Town","Gold Membership","Yes","Credit/Debit Card Offers","Smartphone","Fiber_Optic",103.36,39610.89,"10.0",653.12,"Yes","No","Yes","Solved","Poor Customer Service",1
"155",154,29,"F","Village","Premium Membership","Yes","Gift Vouchers/Coupons","Smartphone","Wi-Fi",222.69,18297.21,"2.0",774.47,"No","Yes","Yes","No Information Available","Products always in Stock",0
"156",155,39,"F","City","Silver Membership","No","Gift Vouchers/Coupons","Smartphone","Wi-Fi",283.85,3888.65,"18.0",959.920410013221,"Yes","No","No","Not Applicable","Products always in Stock",0
"158",157,37,"F","Town","Gold Membership","No","Gift Vouchers/Coupons","Smartphone","Wi-Fi",32.29,63097.55,"-12.714310534412167",780.09,"No","Yes","No","Not Applicable","User Friendly Website",0
"159",158,21,"M","Town","Silver Membership","No","Gift Vouchers/Coupons","Desktop","Wi-Fi",145.45,48500.63,"11.0",727.97,"No","Yes","Yes","Solved","Poor Customer Service",0
"160",159,64,"F","Town","Basic Membership","No","Credit/Debit Card Offers","Smartphone","Fiber_Optic",313.84,23211.35,"15.0",573.16,"Yes","No","No","Not Applicable","Poor Product Quality",1
"162",161,37,"F","Town","Basic Membership","No","Gift Vouchers/Coupons","Desktop","Fiber_Optic",206.56,13037.39,"13.0",616.68,"Yes","No","Yes","Solved in Follow-up","Too many ads",1
"163",162,55,"M","Town","Basic Membership","No","Gift Vouchers/Coupons","Smartphone","Wi-Fi",51.75,27564.76,"24.0",660.59,"No","Yes","No","Not Applicable","Too many ads",1
"164",163,18,"M","City","Basic Membership","Yes","Without Offers","Smartphone","Fiber_Optic",117.9,49537.82,"7.0",528.08,"Yes","No","Yes","Solved","Poor Product Quality",1
"167",166,48,"F","City","Basic Membership","Yes","Credit/Debit Card Offers","Desktop","Mobile_Data",77.18,49448.05,"5.0",605.23,"No","Yes","Yes","No Information Available","Poor Product Quality",1
"168",167,54,"M","Town","Basic Membership","No","Credit/Debit Card Offers","Desktop","Wi-Fi",60.77,45095.33,"1.234738898757417",692.59,"Yes","No","No","Not Applicable","Poor Product Quality",1
"169",168,52,"F","Village","Gold Membership","No","Without Offers","Smartphone","Mobile_Data",197.85,42084.72,"18.0",710.7,"No","Yes","No","Not Applicable","Poor Customer Service",0
"170",169,33,"F","Town","Platinum Membership","Yes","Without Offers","Both","Mobile_Data",502.4,4714.82,"24.0",472.802570352002,"Yes","No","No","Not Applicable","Poor Website",0
"171",170,35,"M","Town","No Membership","Yes","Credit/Debit Card Offers","Smartphone","Fiber_Optic",33.96,6175.77,"22.0",545.14,"Yes","No","No","Not Applicable","Poor Product Quality",1
"173",172,39,"F","City","Gold Membership","No","Gift Vouchers/Coupons","Desktop","Fiber_Optic",34.93,42965.53,"29.0",630.68,"No","Yes","Yes","Solved","Poor Product Quality",1
"175",174,29,"M","City","Premium Membership","Yes","Gift Vouchers/Coupons","Desktop","Wi-Fi",317.25,17951.87,"17.0",753.97,"No","Yes","No","Not Applicable","Poor Customer Service",0
"179",178,14,"F","City","No Membership","No","Gift Vouchers/Coupons","Desktop","Fiber_Optic",33.34,46392.24,"24.0",582.93,"Yes","No","No","Not Applicable","Poor Customer Service",1
"180",179,13,"F","Village","Premium Membership","No","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",84.05,10423.83,"29.0",1044.81537996821,"No","Yes","Yes","No Information Available","No reason specified",0
"181",180,56,"F","Town","No Membership","Yes","Without Offers","Desktop","Wi-Fi",69.22,14117.54,"12.0",523.54,"No","Yes","Yes","Solved in Follow-up","Poor Website",1
"182",181,64,"F","City","Silver Membership","No","Gift Vouchers/Coupons","Desktop","Mobile_Data",32.16,67458.29,"-13.646849550496079",764.62,"Yes","No","Yes","Solved in Follow-up","User Friendly Website",0
"183",182,47,"M","Town","No Membership","Yes","Gift Vouchers/Coupons","Both","Wi-Fi",692.73,18404.11,"19.0",1072.74512805229,"Yes","No","Yes","No Information Available","Poor Website",1
"185",184,45,"M","Town","Premium Membership","Yes","Credit/Debit Card Offers","Smartphone","Mobile_Data",38.65,1225.14,"9.0",700.07,"Yes","No","Yes","Unsolved","Too many ads",0
"186",185,60,"F","Town","Premium Membership","Yes","Without Offers","Smartphone","Wi-Fi",182.16,43782.88,"Error",761.49,"No","Yes","Yes","Solved in Follow-up","User Friendly Website",0
"187",186,19,"F","Town","Premium Membership","Yes","Without Offers","Smartphone","Fiber_Optic",31.98,14432.03,"24.0",730.04,"Yes","No","Yes","Solved","Poor Customer Service",0
"190",189,32,"M","Town","Gold Membership","No","Credit/Debit Card Offers","Smartphone","Mobile_Data",329.16,37811.56,"27.0",757.14,"No","Yes","Yes","Unsolved","Poor Website",0
"191",190,36,"F","Town","Premium Membership","Yes","Gift Vouchers/Coupons","Both","Fiber_Optic",700.63,26571.36,"13.0",738.84,"Yes","Yes","No","Not Applicable","Products always in Stock",0
"192",191,52,"F","Town","Basic Membership","No","Gift Vouchers/Coupons","Smartphone","Wi-Fi",166.57,45964.8,"17.0",630,"Yes","No","Yes","No Information Available","Too many ads",1
"193",192,39,"M","Town","No Membership","Yes","Without Offers","Smartphone","Fiber_Optic",126.05,43632.02,"16.0",594.51,"Yes","No","No","Not Applicable","Poor Website",1
"194",193,42,"F","City","Silver Membership","No","Gift Vouchers/Coupons","Desktop","Fiber_Optic",428.35,26483.73,"14.0",713.42,"No","Yes","No","Not Applicable","No reason specified",0
"196",195,17,"F","Town","Gold Membership","No","Credit/Debit Card Offers","Desktop","Fiber_Optic",196.56,1246.57,"22.0",766.76,"Yes","No","Yes","Solved in Follow-up","No reason specified",0
"197",196,56,"M","Town","No Membership","No","Without Offers","Desktop","Wi-Fi",359.98,38699.34,"29.0",560.14,"No","Yes","Yes","No Information Available","Poor Customer Service",0
"198",197,33,"F","City","Premium Membership","No","Credit/Debit Card Offers","Desktop","Mobile_Data",32.47,25468.76,"Error",298.868693980155,"No","Yes","No","Not Applicable","Poor Customer Service",0
"199",198,33,"F","City","Gold Membership","No","Without Offers","Smartphone","Fiber_Optic",177.73,35286.1,"Error",709.01,"Yes","No","Yes","No Information Available","Poor Website",1
"206",205,62,"F","Town","Gold Membership","Yes","Without Offers","Smartphone","Fiber_Optic",308.28,38497.78,"21.0",792.37,"Yes","No","Yes","Unsolved","Too many ads",0
"208",207,56,"M","Town","Basic Membership","Yes","Without Offers","Desktop","Mobile_Data",732.71,47547.72,"15.0",936.362280069914,"Yes","Yes","Yes","Unsolved","Poor Product Quality",1
"210",209,18,"F","Town","Gold Membership","No","Without Offers","Desktop","Wi-Fi",32.82,46250.9,"2.0",779.89,"Yes","No","No","Not Applicable","User Friendly Website",0
"212",211,23,"M","City","Gold Membership","Yes","Without Offers","Desktop","Fiber_Optic",547.87,36383.39,"4.0",763.15,"No","Yes","Yes","Solved","Products always in Stock",0
"213",212,17,"M","City","Platinum Membership","Yes","Credit/Debit Card Offers","Desktop","Mobile_Data",80.4,15214.2,"16.0",761.95,"Yes","No","No","Not Applicable","No reason specified",0
"214",213,42,"F","City","Gold Membership","Yes","Without Offers","Desktop","Wi-Fi",179.84,39667.91,"10.0",-38.0843140071828,"No","Yes","No","Not Applicable","Poor Product Quality",0
"218",217,16,"F","Town","Premium Membership","No","Gift Vouchers/Coupons","Desktop","Fiber_Optic",34.49,31418.7,"Error",770.66,"Yes","No","Yes","Unsolved","Poor Product Quality",0
"219",218,38,"M","Town","Basic Membership","Yes","Without Offers","Desktop","Mobile_Data",117.11,29114.92,"Error",521.7,"No","Yes","Yes","No Information Available","Too many ads",1
"221",220,30,"M","City","No Membership","No","Credit/Debit Card Offers","Desktop","Wi-Fi",121.38,13374.01,"12.0",693,"Yes","No","No","Not Applicable","Poor Website",1
"222",221,64,"M","Village","No Membership","No","Gift Vouchers/Coupons","Both","Mobile_Data",445.01,37220.97,"Error",550.13,"No","Yes","Yes","Solved","Poor Website",1
"223",222,59,"M","Town","No Membership","Yes","Credit/Debit Card Offers","Smartphone","Mobile_Data",628.79,40093.14,"55.016168569095036",622.06,"No","Yes","No","Not Applicable","Poor Customer Service",1
"224",223,23,"M","City","No Membership","No","Gift Vouchers/Coupons","Desktop","Fiber_Optic",31.45,18606.73,"24.0",621.94,"No","Yes","No","Not Applicable","Poor Product Quality",1
"225",224,32,"F","Town","Silver Membership","No","Without Offers","Smartphone","Wi-Fi",38.88,41019.89,"19.0",750.83,"No","Yes","Yes","Solved","Quality Customer Care",0
"228",227,12,"M","Town","No Membership","No","Without Offers","Desktop","Wi-Fi",322.3,14310.09,"11.0",559.245134925359,"Yes","No","No","Not Applicable","Poor Product Quality",1
"231",230,55,"F","City","Gold Membership","No","Without Offers","Smartphone","Fiber_Optic",291.94,97643.81,"5.0",713.99,"Yes","Yes","No","Not Applicable","User Friendly Website",0
"232",231,16,"F","City","Silver Membership","No","Without Offers","Desktop","Wi-Fi",343.13,32605.84,"16.0",335.262081835267,"No","Yes","No","Not Applicable","Poor Customer Service",1
"235",234,24,"F","Town","Platinum Membership","No","Without Offers","Smartphone","Mobile_Data",31.86,21842.03,"19.0",743.44,"No","Yes","No","Not Applicable","Too many ads",0
"239",238,63,"F","Village","Premium Membership","Yes","Credit/Debit Card Offers","Smartphone","Mobile_Data",1090.92,12483.66,"2.0",705.75,"Yes","Yes","Yes","Solved in Follow-up","Quality Customer Care",0
"240",239,62,"M","Town","Gold Membership","No","Gift Vouchers/Coupons","Smartphone","Mobile_Data",402.05,20411.69,"15.0",517.351391337967,"Yes","No","No","Not Applicable","Products always in Stock",0
"241",240,48,"F","Village","Platinum Membership","Yes","Gift Vouchers/Coupons","Desktop","Mobile_Data",33.18,24394.24,"16.0",1042.08706416048,"No","Yes","Yes","No Information Available","Poor Product Quality",0
"243",242,64,"F","City","Basic Membership","Yes","Gift Vouchers/Coupons","Both","Fiber_Optic",-408.269351894181,36532.11,"16.0",621.72,"No","Yes","No","Not Applicable","Poor Website",1
"247",246,54,"F","Town","Gold Membership","Yes","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",67.48,47619.23,"10.0",754.69,"No","Yes","No","Not Applicable","Quality Customer Care",0
"248",247,12,"M","Town","Silver Membership","Yes","Credit/Debit Card Offers","Smartphone","Wi-Fi",226.47,27477.44,"16.0",748.61,"Yes","No","No","Not Applicable","Poor Customer Service",0
"250",249,23,"M","Town","Premium Membership","No","Without Offers","Desktop","Wi-Fi",125.89,77291.02,"1.0",1085.77060118686,"Yes","No","Yes","Solved","Reasonable Price",0
"251",250,62,"F","Village","No Membership","Yes","Credit/Debit Card Offers","Smartphone","Mobile_Data",112.9,20038.77,"12.0",274.323584225184,"No","Yes","No","Not Applicable","Poor Product Quality",1
"255",254,38,"M","Town","No Membership","No","Gift Vouchers/Coupons","Desktop","Mobile_Data",174.48,40594.31,"Error",615.71,"No","Yes","Yes","Solved in Follow-up","No reason specified",1
"256",255,28,"M","City","Platinum Membership","Yes","Without Offers","Smartphone","Wi-Fi",43.58,23397.98,"8.0",759.48,"Yes","No","No","Not Applicable","Poor Customer Service",0
"257",256,39,"F","City","Silver Membership","No","Credit/Debit Card Offers","Desktop","Fiber_Optic",32.91,11023.03,"Error",208.90394517916,"No","Yes","No","Not Applicable","Too many ads",0
"258",257,61,"F","Town","No Membership","Yes","Gift Vouchers/Coupons","Desktop","Wi-Fi",100.33,34614.42,"15.0",642.93,"No","Yes","Yes","Solved in Follow-up","No reason specified",1
"260",259,37,"M","Town","Silver Membership","Yes","Without Offers","Smartphone","Wi-Fi",43.78,17353.48,"21.0",282.363879337758,"Yes","No","No","Not Applicable","Poor Customer Service",1
"265",264,20,"F","Town","Gold Membership","Yes","Credit/Debit Card Offers","Desktop","Wi-Fi",233.72,15596.42,"14.0",780.92,"Yes","No","No","Not Applicable","Poor Website",0
"266",265,27,"F","Village","No Membership","Yes","Credit/Debit Card Offers","Desktop","Mobile_Data",304.09,32189.63,"7.0",549.41,"No","Yes","Yes","No Information Available","Too many ads",1
"269",268,55,"F","City","No Membership","No","Credit/Debit Card Offers","Desktop","Wi-Fi",488,20417.72,"10.0",656.21,"No","Yes","No","Not Applicable","Poor Website",1
"270",269,21,"F","City","No Membership","No","Gift Vouchers/Coupons","Smartphone","Mobile_Data",39.62,46139.37,"16.0",673.05,"Yes","No","No","Not Applicable","Poor Customer Service",1
"271",270,12,"M","Town","No Membership","Yes","Gift Vouchers/Coupons","Desktop","Wi-Fi",110.59,12478.19,"21.0",671.23,"No","Yes","Yes","Solved","Poor Customer Service",1
